epoch,loss,val_accuracy
1,0.693147178559945,0.75
2,0.6447362492264515,0.8
3,0.6075490326924807,0.8
4,0.5779036338657789,0.8
5,0.5534327020954775,0.825
6,0.5326334051255143,0.85
7,0.5145419015930833,0.85
8,0.4985253115010575,0.85
9,0.4841549227933356,0.85
10,0.4711299480070501,0.85
11,0.4592315518928342,0.85
12,0.44829482327086967,0.85
13,0.4381914139858035,0.85
14,0.4288185763931377,0.85
15,0.4200920860725919,0.875
16,0.4119415575482876,0.875
17,0.4043072578073785,0.875
18,0.39713787441535503,0.875
19,0.3903889045709003,0.875
20,0.38402145741982197,0.875
21,0.3780013384429965,0.875
22,0.3722983316612984,0.875
23,0.3668856245050659,0.875
24,0.361739338464334,0.875
25,0.35683814026032457,0.875
26,0.3521629157919195,0.85
27,0.3476964940552845,0.875
28,0.34342341155606193,0.875
29,0.3393297100157844,0.875
30,0.3354027617811532,0.875
31,0.3316311185053266,0.875
32,0.32800437952963724,0.875
33,0.32451307704575516,0.875
34,0.32114857562327387,0.875
35,0.3179029840865911,0.875
36,0.3147690780452837,0.875
37,0.31174023164290876,0.875
38,0.3088103573038182,0.875
39,0.30597385243586817,0.875
40,0.3032255521961054,0.875
41,0.3005606875520864,0.875
42,0.29797484797771007,0.875
43,0.29546394821262145,0.875
44,0.2930241985910961,0.875
45,0.29065207851194647,0.875
46,0.2883443126772364,0.875
47,0.28609784977584785,0.875
48,0.2839098433294567,0.875
49,0.28177763445427034,0.875
50,0.27969873632274306,0.875
