epoch,loss,val_accuracy
1,0.6358653807150307,0.775
2,0.5564413309093308,0.825
3,0.5122475741734676,0.875
4,0.4799271989812069,0.925
5,0.45516714414054404,0.9
6,0.4356123845118653,0.9
7,0.41973412949168704,0.925
8,0.4065244714625503,0.925
9,0.3953076447565541,0.9
10,0.38561956037210254,0.9
11,0.37713300196450916,0.9
12,0.36961124303421033,0.9
13,0.36287886628280464,0.9
14,0.35680301177092366,0.875
15,0.351281044084201,0.875
16,0.346232252519856,0.875
17,0.34159214194355275,0.875
18,0.33730842477116824,0.875
19,0.3333381536782214,0.875
20,0.3296456344800723,0.875
21,0.32620088246350526,0.875
22,0.32297846375897626,0.875
23,0.3199566138356212,0.875
24,0.3171165583659152,0.875
25,0.31444198387247496,0.875
26,0.311918620627144,0.875
27,0.30953391065848895,0.875
28,0.3072767409900989,0.875
29,0.3051372273835924,0.875
30,0.3031065375580277,0.875
31,0.3011767455425793,0.875
32,0.29934071079048435,0.875
33,0.29759197714397295,0.875
34,0.295924687834256,0.875
35,0.2943335135273476,0.875
36,0.29281359105631616,0.875
37,0.2913604709642312,0.875
38,0.28997007235635425,0.875
39,0.2886386438518118,0.875
40,0.28736272965391174,0.875
